1;1;15;0;0;0;0;now();11;15
2;1;9;0;0;0;0;now();2;15
3;1;20;0;0;0;0;now();2;11
4;1;9;0;0;0;0;now();2;17
5;1;8;6;5;7;5;now();2;6
6;1;2;3;0;4;0;now();2;7
7;1;20;12;9;15;9;now();2;4
8;1;15;10;9;15;9;now();1;6
9;1;8;6;5;7;5;now();1;6
10;1;25;15;10;20;10;now();1;2
11;1;3;3;0;4;0;now();1;7
12;1;20;10;8;15;8;now();1;4
13;1;10;0;0;0;0;now();4;15
14;1;20;0;0;0;0;now();4;11
15;1;10;0;0;0;0;now();4;17
16;1;15;8;7;12;7;now();4;6
17;1;15;10;8;15;8;now();4;5
18;1;17;12;9;15;9;now();4;3
19;1;9;7;5;8;5;now();4;9
20;1;5;3;0;4;0;now();4;10
21;1;3;4;0;5;0;now();4;7
22;1;-7;0;-7;0;-7;now();5;11
23;1;-10;0;-10;0;-10;now();5;7
24;1;-9;0;-9;0;-9;now();5;8
25;1;-8;0;-8;0;-8;now();3;5
26;1;-10;0;-10;0;-10;now();2;5
27;1;-9;0;-9;0;-9;now();2;8
28;1;-9;0;-9;0;-9;now();7;11
29;1;-7;0;-7;0;-7;now();4;8
