56;3;25;0;0;0;10;now();11;21
57;3;25;0;0;0;10;now();6;21
58;3;20;0;0;0;10;now();5;21
59;3;25;0;0;0;0;now();3;11
60;3;15;10;8;15;8;now();3;6
61;3;10;8;6;10;6;now();3;3
62;3;10;8;0;10;0;now();3;8
63;3;25;0;0;0;10;now();2;21
64;3;20;10;6;15;6;now();2;6
65;3;20;8;5;15;5;now();2;3
66;3;15;8;6;10;6;now();1;1
67;3;15;8;6;10;6;now();2;4
68;3;20;8;7;15;8;now();2;2
69;3;20;0;0;0;8;now();1;21
70;3;25;10;10;15;10;now();1;2
71;3;15;9;8;15;8;now();1;4
72;3;20;0;0;0;0;now();4;21
73;3;15;9;7;15;7;now();4;3
74;3;10;6;4;8;4;now();4;4
75;3;10;7;5;10;5;now();1;3
76;3;-10;0;-10;0;-10;now();5;2
77;3;-10;0;-15;0;-15;now();5;7
78;3;-10;0;-15;0;-15;now();5;8
79;3;-8;0;-7;0;-7;now();7;11
80;3;-8;0;-8;0;-8;now();7;2
81;3;-7;0;-7;0;-6;now();7;4
82;3;-15;0;-10;0;-9;now();5;11
